"","very","how","much","all","most","about","really","rather","quite","right","almost","actually","indeed","simply","especially","clearly","nearly","exactly","little","highly","fully","slightly","hardly","completely","relatively","largely","entirely","extremely","fairly","totally","absolutely","partly","widely","pretty","somewhat","perfectly","mostly","essentially","precisely","greatly","approximately","purely","sufficiently","roughly","barely","wholly","thoroughly","strictly","substantially","broadly","differently","fucking","positively","utterly","partially","half","terribly","dead","technically","vaguely","halfway","fundamentally","enormously","distinctly","incredibly"
"important",0.0736675481813098,0,0,0,1.05159987345051,0,0,0,0,0,0,0,0,0,1.2085792221369,0,0,0,0,0,0,0,0,0,0,0,0,0.634418066380722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.317558335250725,0,0,0,0,0.671654893082963,0.881531339299991,0,0
"young",0.816185586113504,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75165790728819,0,0,0,0.300695442596476,0,0,0,0,0,0.890026529171736,0,0,0,0,0,0,0,0,0.458988288150954,0,0,0.647058294492788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25199743304466,0,0,0,0,0,0,0,0,0,0,0,0,0
"national",0,0,0.417893390305047,1.30894613205195,0,2.11586954418111,0,0,0,1.15843012806716,0,0,0.365579785454075,0,0,0,0,0,0,0,0,0,0,0,0,0.077660118698947,0,0,0,0,0,0,0,0,0,0,0,0.878080019879936,0,0,0,2.40608905162838,0,0,0,0.281045090832006,0,0.887754878593975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09251042057316,0
"possible",0,0,0,1.64770887032453,0,0.948873444089919,0,0,1.37722098542364,0,0,0.666637263099871,2.01572448604561,0,0,0,0,0,0,0,0,0,2.17965433198362,0,0,0,2.43207694972528,0,0,0,0,0,0,0,0,1.30810373164079,0,0,0,0,0,0,0,0,0.936823719155648,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78932715247556,0.311776636942716,0,0,0,0.660808726518646,0
"big",0,1.45573099312317,0,0,0,0,1.24693899212431,0,0,0,0,0,0,0,0,0,0,0,1.23632437844757,0,0,0,0,0,0,0,0,0,0.112827571602515,0,0,0,0,1.08026369247655,0,0,0,0,0,0,0,0,0,0,0.267580136249831,0,0,0,0,0,0,2.28216286704325,0,0,0,0,0,0,0,0,0,0,0.184527353645737,0,0
"right",0,0,0.422250087726096,1.54235328413618,0,0.735801545579744,0,0,1.40962208566501,0.823991618978064,0.116889944205431,0,0.0729174439439439,0.773181931831964,0,0,0,3.1290306601513,0,0,0,0,0,0,0,0,0,0,0,0,2.1762609286876,1.37571047293739,0,0,0,0.428902407181111,0,0,1.71610773007892,0,0.424655932975655,0,0,0.122313823272932,0,0,0,0,0,0,0,0,0,0,1.05773671972829,1.21740874021942,0,1.79534143678727,0,0.25886055254619,0.377409936568049,0.446958589771842,0,0,0
"early",0.858151481013785,0,0,0,0,0.28246382093428,0,0.176324653021534,0.385771052424595,0,0,0,0,0,0.501806719439957,0,0,0,1.08611681232966,0,0,0,0,0,0.835692853487316,0,0,0,1.16138704994145,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634668960706144,0,0,0,0,0,0,0,0,0,0,0,0,0,1.08426331230717,0,0,0,0,0,0,0,0
"public",0,0,0,2.05221159471675,0,0.213833166427431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"only",0,0,0.554798528238848,0,0,0.646861364749663,2.30819940570291,0.885441333876729,0,1.50948602570302,0.640117339770262,2.80796785487271,2.38097554406934,0,0,1.31132316060881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07212987101128,2.38151464204245,1.19499820690334,0,2.23952062373559,0,0,1.27801996070033,0,0,0,1.99979923635444,0,0,1.62160708500346,0.192785254479469,0.589710431390027,0,0,1.19923561450482,0,1.08055037024062,1.30924108300517,0,0.185768085786521,0.123900281446636,0,0,0
"able",0,0,0,0,0,0,0.366611037297634,0,0.733253569586085,0,0.148683248789432,2.92373964417552,2.25507434158583,0.126968391154579,0,1.2709719250351,0,0,0,0,1.38185283051999,0,3.76091918507027,0,0,0.377907353848621,0,0,0,0,0,0,0,0,0,1.83433685709418,0,0.0185405390093674,0,0,0,0,0.154932023103663,0,4.9875270271373,0,0,0,0,0,2.90228000209757,0,0,0,1.08304549392642,0,0,0,2.00467140248937,0,0,0,0,0,0
