310032,247930,1973336,120482,59495,101488,21999,67470,280241,20421,306,3357,12030,23835,717302,752410,6944,266268,379728,38191,2815,117399,27693,5180,30775,254,97,271,743,71,840,41041,1496,94913,636,5615,1448,6379,101,0,1409
22548715,1813437,210773,4421015,151046,880961,26210,12535,19170,7559,378,927,1931,4463,4323,6830,256899,398128,6894,6761,1415,4924334,11516,233361,52239,191,559,300,3051,218,2069,4948,11899,54032,3110,637,974,6353,939,1174,52553
1030083,1104634,146873,209469,53060,92765,11542,5537,1527,961,70,312,8166,31728,865,503,20041,24968,2152,231,648,72193,15608,155,19455,0,44,0,379,0,5321,72,621,63964,501,1001,130,16900,49,98,4685
502708,867099,113711,1240442,4853,7344,4410,2624,1225,5386,112,82,115,1272,1144,1154,10774,2031,11697,55792,147,67423,535,1780,5867,0,142,46,210,52,77,158,505,63242,678,676,0,1403,0,489,9654
5027301,497976,209063,173666,116164,275971,7041,1970,1797,5196,312,1240,15318,1829,1435,379,842913,201008,3869,1356,326,185062,19655,339,20119,136,101,614,363,130,733,45,309,11441,218,108,188,10796,105,7026,52829
4072384,401562,125551,162781,203779,297273,7986,1477,294,2477,92,108,5831,848,216,305,288585,170388,679,642,122,127112,15420,266,43390,84,93,156,113,94,995,0,157,14338,86,226,0,1677,0,186,40443
3803559,663985,364716,107779,168395,1316183,420,2997,153,627,5793,864,1387903,4942,1566528,736736,29132,10236,779124,15451,3065,22910,427604,1332,5153,209,16943,91,92,70,1587,48843,1731,1834,850,23644,2060,467,0,2058,6411
3935973,429425,53222,77865,344442,345721,3973,1459,1899,632,49,164,5282,1283,126,156,243356,289866,758,347,113,67348,13147,193,11863,127,52,88,108,80,4405,0,0,10232,65,0,68,1093,0,5741,20244
2922189,8695938,142056,282298,134664,140668,9525,1937,5689,1019,125,417,6715,1278,268,400,154326,94484,1690,292,167,99166,15027,239,6144,134,279,150,344,76,2453,119,83,23306,111,72,114,27738,0,5436,39768
7404083,1471082,144860,620790,39172,136714,447,501,448,373,93070,103,12105,1699,305,388,1027293,32545,1242,7422,168,72554,105619,77,3728,53,1711,0,0,43,141,107,102,2317,71,2140,96,225,57,29549,67716
2035750,148108,116851,75024,15927,76776,4437,1641,314,1267,0,163,255,340,172,249,19911,32224,2630,275,95,154508,1435,219,45291,122,0,85,61,117,266,0,73,243167,70,0,0,683,0,95,2813
152020,13160,347096,92183,692,371218,585,5173,864,714,20377,4753,1275,35848,10159,204545,1644,2614,7515,6275,744,542,1455,56616,648,132,277,89,136,85,9428,1158,165,925,0,164,730,257,0,0,76
1036596,1106639,147687,721110,35772,75887,12486,2510,2114,2528,46,230,1774,2229,399,109,15471,47547,3949,415,50,346878,2062,2304,3901,96,52,53,79,141,6014,0,166,302283,0,0,0,1174,0,2323,4077
62865,81559,379654,38039,2561,519009,67005,43198,9188,241293,476,3084,12587,1028,35192,16635,4878,1495,32931,284089,30575,8665,4133,31811,20682,5707,214,4226,698,3773,267,1595,588,20428,601,896,14915,44783,748,0,962
1170723,84125,101518,57519,22187,78444,4158,456,393,985,95,253,4827,83,187,171,12676,62031,114,0,108,53651,4925,44,3780,0,52,945,0,260,59,0,103,1766,73,0,50,4130,0,0,1894
