58,12
74,10
108,28
34,21
8,36
124,11
54,15
19,15
130,2
101,21
33,7
78,16
39,14
63,36
104,10
89,11
54,13
121,16
84,39
95,24
105,19
6,9
77,13
31,12
46,4
98,16
36,3
14,25
60,13
21,12
58,35
129,1
95,1
20,18
91,34
83,14
113,16
100,15
70,4
42,18
76,38
26,35
114,37
59,19
79,38
101,33
83,33
83,30
29,27
120,38
52,1
122,2
81,3
54,39
97,4
21,7
40,4
74,24
127,24
44,15
89,28
110,28
48,23
125,30
61,2
107,22
21,36
126,19
42,19
57,39
71,23
102,32
25,7
10,28
123,14
43,9
67,24
99,10
8,15
123,15
25,37
11,28
56,6
45,24
21,3
115,28
116,15
23,28
70,23
8,12
49,18
22,13
116,31
84,23
116,35
18,9
84,27
79,36
49,19
42,24
