bad,basic,beautiful,big,close,cold,considerable,dark,deep,difficult,early,easy,effective,far,fine,good,great,happy,hard,heavy,high,hot,important,interesting,large,late,light,likely,little,long,low,nice,old,poor,popular,positive,serious,short,significant,simple,small,sorry,special,specific,strong,successful,useful,wide,young,
appropriate,central,certain,clear,common,direct,final,general,modern,natural,new,obvious,ready,real,recent,right,sure,traditional,whole,
aware,essential,necessary,open,possible,
free,independent,original,wrong,
complete,dead,full,total,
concerned,different,similar,
normal,
responsible,
