basic,close,cold,common,concerned,considerable,difficult,early,easy,fine,good,happy,heavy,high,important,interesting,large,late,light,likely,little,low,nice,obvious,poor,popular,positive,serious,short,significant,similar,simple,small,sorry,special,strong,useful,wide,young,
certain,complete,dead,different,final,full,natural,new,normal,original,possible,ready,right,total,whole,wrong,
appropriate,central,clear,dark,direct,effective,general,modern,real,recent,specific,successful,sure,traditional,
bad,beautiful,big,deep,great,hard,hot,old,
essential,free,necessary,
independent,open,responsible,
far,long,
aware,
