basic,beautiful,central,certain,close,common,complete,considerable,dark,different,difficult,direct,early,easy,effective,essential,following,foreign,free,great,hard,heavy,high,important,independent,interesting,large,last,late,low,nice,normal,obvious,only,open,poor,popular,recent,responsible,right,serious,short,significant,similar,simple,small,sorry,strong,successful,sure,useful,whole,wrong,
appropriate,available,aware,bad,big,black,blue,clear,cold,current,dead,deep,existing,far,final,fine,full,general,good,green,happy,hot,human,international,left,light,likely,little,long,major,necessary,new,old,original,particular,past,positive,possible,present,prime,professional,ready,red,single,special,specific,total,white,wide,working,young,
civil,extra,future,individual,industrial,main,natural,other,previous,private,public,real,royal,top,traditional,various,
economic,financial,local,medical,military,national,personal,physical,political,social,
concerned,due,
able,legal,
modern,
