8, 6, 11, 0, 113, 1, 38, 13, 98, 33, 2, 3, 154, 208
42, 117, 86, 5, 104, 12, 23, 189, 111, 3, 11, 34, 265, 21
0, 2, 0, 49, 1, 1, 0, 1, 4, 4, 0, 2, 1, 5
0, 5, 0, 3, 11, 0, 3, 0, 7, 4, 0, 2, 10, 12
3, 2, 0, 0, 25, 0, 1, 4, 5, 4, 121, 2, 1, 0
1, 3, 46, 19, 37, 0, 3, 1305, 125, 19, 5, 0, 4448, 26
0, 0, 3, 0, 2, 0, 0, 10, 5, 3, 6, 0, 33, 1
441, 30, 1, 0, 334, 0, 0, 172, 265, 7, 2, 4, 57, 11
21, 110, 28, 0, 32, 1, 41, 81, 21, 15, 4, 41, 359, 68
7, 135, 1, 12, 63, 54, 2, 10, 6, 2, 65, 22, 82, 147
9, 5, 581, 1, 282, 0, 0, 83, 84, 25, 34, 0, 2293, 16
0, 0, 43, 3, 23, 2, 0, 150, 37, 11, 1, 0, 1124, 11
0, 1, 14, 0, 2, 0, 0, 18, 10, 10, 5, 0, 72, 4
2, 206, 67, 3, 28, 2, 11, 55, 44, 59, 49, 17, 353, 82
21, 88, 1, 341, 23, 7, 0, 69, 15, 10, 2, 23, 67, 17
2, 2, 318, 12, 913, 0, 0, 134, 189, 68, 170, 0, 2417, 28
0, 0, 165, 2, 202, 0, 0, 487, 155, 18, 0, 1, 2027, 15
0, 0, 4, 2, 230, 0, 0, 8, 9, 6, 2, 0, 74, 3
29, 45, 3, 1, 21, 0, 78, 105, 14, 44, 30, 39, 148, 12
0, 1, 24, 0, 101, 0, 0, 28, 27, 6, 5, 10, 243, 6
17, 65, 9, 440, 36, 6, 2, 132, 32, 13, 5, 10, 212, 313
82, 41, 1, 0, 64, 0, 4, 71, 39, 5, 4, 54, 10, 31
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0
10, 46, 4, 0, 7, 5, 0, 0, 5, 0, 0, 78, 23, 0
0, 1, 10, 0, 2, 0, 0, 8, 19, 6, 0, 0, 165, 0
5, 1, 112, 15, 465, 1, 0, 334, 202, 73, 13, 4, 2806, 22
1, 0, 58, 52, 1944, 0, 3, 48, 524, 57, 145, 0, 2999, 65
2, 2, 186, 11, 157, 0, 2, 191, 120, 83, 11, 0, 5884, 86
821, 6, 10, 0, 44, 0, 0, 2, 18, 6, 2, 12, 140, 37
19, 229, 20, 20, 398, 68, 7, 76, 102, 36, 79, 94, 795, 169
7, 4, 379, 0, 37, 0, 3, 134, 240, 37, 6, 25, 3264, 75
26, 19, 4, 0, 820, 1, 79, 3, 777, 1, 2, 6, 470, 47
16, 8, 3, 0, 5, 0, 14, 9, 9, 1, 1, 4, 54, 1
2, 26, 14, 0, 193, 1, 3, 104, 24, 5, 35, 37, 326, 16
108, 240, 95, 0, 32, 0, 243, 244, 80, 61, 5, 76, 635, 26
0, 2, 10, 0, 7, 0, 0, 28, 25, 25, 10, 0, 117, 2
1, 1, 159, 1, 46, 0, 0, 97, 44, 53, 71, 0, 2282, 1059
1, 10, 302, 4, 66, 3, 4, 281, 386, 205, 9, 0, 5568, 10
28, 29, 1, 1, 11, 0, 145, 63, 6, 3, 2, 13, 144, 0
4, 12, 499, 3, 49, 0, 4, 967, 481, 45, 10, 1, 9714, 64
0, 2, 28, 5, 6, 0, 1, 55, 23, 14, 4, 0, 337, 13
0, 10, 5, 0, 26, 0, 0, 8, 15, 9, 3, 0, 152, 5
4, 4, 424, 0, 20, 1, 0, 73, 60, 51, 0, 1, 893, 7
13, 82, 5, 0, 19, 0, 0, 2, 11, 5, 0, 108, 13, 2
9, 3, 219, 0, 12, 0, 0, 138, 161, 137, 59, 3, 1295, 16
0, 4, 21, 3, 2, 0, 0, 14, 15, 8, 11, 1, 130, 9
1, 2, 37, 10, 11, 0, 1, 59, 33, 9, 25, 0, 352, 16
11, 17, 5, 0, 4, 0, 0, 8, 2, 3, 4, 2, 7, 0
10, 30, 3, 0, 22, 2, 2, 27, 4, 7, 4, 12, 57, 3
