438786,12932,159538,12837,1528,1928,13338,3919,2725,2486,112,403,6090,937,1072,337,883,575,716,2659,127,1152,1394,634,859,80,623,423,0,422,1336,0,288,9651,523,56,49,11297,63,63,61
4131,319257,2179175,4085,3332,10429,11630,1641,261,544,215,489,654,160,5866,4713,91,148,3948,978,461,441,1039,220,5530,78,121,77,130,0,56,7134,105,14888,172,426,156,4078,0,0,0
310032,247930,1973336,120482,59495,101488,21999,67470,280241,20421,306,3357,12030,23835,717302,752410,6944,266268,379728,38191,2815,117399,27693,5180,30775,254,97,271,743,71,840,41041,1496,94913,636,5615,1448,6379,101,0,1409
22548715,1813437,210773,4421015,151046,880961,26210,12535,19170,7559,378,927,1931,4463,4323,6830,256899,398128,6894,6761,1415,4924334,11516,233361,52239,191,559,300,3051,218,2069,4948,11899,54032,3110,637,974,6353,939,1174,52553
1030083,1104634,146873,209469,53060,92765,11542,5537,1527,961,70,312,8166,31728,865,503,20041,24968,2152,231,648,72193,15608,155,19455,0,44,0,379,0,5321,72,621,63964,501,1001,130,16900,49,98,4685
502708,867099,113711,1240442,4853,7344,4410,2624,1225,5386,112,82,115,1272,1144,1154,10774,2031,11697,55792,147,67423,535,1780,5867,0,142,46,210,52,77,158,505,63242,678,676,0,1403,0,489,9654
5027301,497976,209063,173666,116164,275971,7041,1970,1797,5196,312,1240,15318,1829,1435,379,842913,201008,3869,1356,326,185062,19655,339,20119,136,101,614,363,130,733,45,309,11441,218,108,188,10796,105,7026,52829
4072384,401562,125551,162781,203779,297273,7986,1477,294,2477,92,108,5831,848,216,305,288585,170388,679,642,122,127112,15420,266,43390,84,93,156,113,94,995,0,157,14338,86,226,0,1677,0,186,40443
3803559,663985,364716,107779,168395,1316183,420,2997,153,627,5793,864,1387903,4942,1566528,736736,29132,10236,779124,15451,3065,22910,427604,1332,5153,209,16943,91,92,70,1587,48843,1731,1834,850,23644,2060,467,0,2058,6411
3935973,429425,53222,77865,344442,345721,3973,1459,1899,632,49,164,5282,1283,126,156,243356,289866,758,347,113,67348,13147,193,11863,127,52,88,108,80,4405,0,0,10232,65,0,68,1093,0,5741,20244
45126,95553,430212,3550,2300,2490,9374,1119,277,685,2901,1174,0,164,3277,4826,2528,3954,1409,131,602,1728,1272,259,18793,132,0,278,29285,0,0,902,146,514,60,50,317,525,0,0,58
